City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,High Level,58.5169,-117.136,60.91,31,40,6.91,CA,2021-09-25 23:26:41
68,Nanortalik,60.1432,-45.2371,37.56,76,2,7.2,GL,2021-09-25 23:26:00
69,Ust-Kishert,57.3654,57.2495,48.2,62,100,8.72,RU,2021-09-25 23:27:54
70,Puerto Ayora,-0.7393,-90.3518,75.16,87,76,8.79,EC,2021-09-25 23:25:30
71,Port Elizabeth,-33.918,25.5701,62.89,67,0,13.8,ZA,2021-09-25 23:26:03
72,Fort Nelson,58.8053,-122.7002,58.59,38,40,4.61,CA,2021-09-25 23:27:21
73,Taltal,-25.4,-70.4833,63.1,71,22,5.37,CL,2021-09-25 23:27:54
74,Cravo Norte,6.3017,-70.2041,79.07,78,38,4.56,CO,2021-09-25 23:27:55
75,Kurya,51.6003,82.2888,40.89,49,100,13.44,RU,2021-09-25 23:27:55
76,Sibu,2.3,111.8167,75.51,100,20,3.44,MY,2021-09-25 23:27:55
77,Portland,45.5234,-122.6762,85.84,37,20,1.01,US,2021-09-25 23:26:19
78,Aripuana,-9.1667,-60.6333,78.3,72,66,2.82,BR,2021-09-25 23:27:26
79,Hermanus,-34.4187,19.2345,59.9,89,23,8.43,ZA,2021-09-25 23:25:35
80,Komsomolskiy,40.4272,71.7189,62.02,36,0,6.91,UZ,2021-09-25 23:27:56
81,Thompson,55.7435,-97.8558,51.96,66,90,4.61,CA,2021-09-25 23:25:48
82,Tabat,-2.635,115.2274,76.77,91,91,0.54,ID,2021-09-25 23:27:56
83,Kyabe,9.4515,18.9449,72.16,95,99,4.21,TD,2021-09-25 23:27:56
84,Zunyi,27.6867,106.9072,65.93,94,1,3.11,CN,2021-09-25 23:27:56
85,Mount Gambier,-37.8333,140.7667,49.91,76,90,5.75,AU,2021-09-25 23:25:52
86,Goderich,43.7501,-81.7165,57.52,62,59,6.91,CA,2021-09-25 23:27:57
87,Freeport,40.6576,-73.5832,71.98,69,75,4.0,US,2021-09-25 23:25:33
88,Tuktoyaktuk,69.4541,-133.0374,33.8,93,90,14.97,CA,2021-09-25 23:25:33
89,Sao Jose Da Coroa Grande,-8.8978,-35.1478,75.67,86,14,9.69,BR,2021-09-25 23:26:20
90,Palmer,42.1584,-72.3287,68.56,78,40,0.0,US,2021-09-25 23:25:35
91,Lebu,-37.6167,-73.65,49.91,83,21,10.42,CL,2021-09-25 23:25:49
92,Buriti Bravo,-5.8372,-43.8336,86.92,34,99,3.31,BR,2021-09-25 23:27:57
